Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,Asia Pacific (Seoul),D4(1),Amazon Virtual Private Cloud (VPC),0,2539.52,30474.24,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (20 TB per month), DT Intra-Region: (0 TB per month), Data transfer cost (2539.52)"
My Estimate,Asia Pacific (Seoul),D4(2),Amazon Virtual Private Cloud (VPC),0,1149.234,13790.81,USD,"Working days per month (22), DT Inbound: Internet (1 TB per month), DT Outbound: Internet (1 TB per month), DT Intra-Region: (0 TB per month), Number of Site-to-Site VPN Connections (25), Number of subnet associations (5), Data transfer cost (129.024)"
My Estimate,Asia Pacific (Seoul),Web,Amazon EC2,0,661.8746,7942.50,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 90, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (t4g.large), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,Asia Pacific (Seoul),WAS,Amazon EC2,0,2000.3319999999999,24003.98,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 50, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (r6g.2xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,Asia Pacific (Seoul),API,Amazon EC2,0,2000.3319999999999,24003.98,USD,"Operating system (Linux), Storage amount (30 GB), DT Inbound: Internet (0 TB per month), DT Outbound: Internet (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Monthly, Baseline: 1, Peak: 50, Duration of peak: 3 Day 0 Hr 0 Min), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB), Advance EC2 instance (r6g.2xlarge), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront)"
My Estimate,Asia Pacific (Seoul),DB1,Amazon RDS for MySQL,0,18465.12,221581.44,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (10 TB), Quantity (3), Instance type (db.r5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"
My Estimate,Asia Pacific (Seoul),DB2,Amazon RDS for MySQL,0,12310.08,147720.96,USD,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (5 TB), Quantity (4), Instance type (db.r5.2xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
